pubchem_cid	pubchem_cid_parent	canonical_smiles	canonical_smiles_parent
5991	5991	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
5994	5994	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
6005	6005	CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O	CN1CCC2=CC=CC3=C2C1CC4=C3C(=C(C=C4)O)O
6006	6006	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O	C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
6010	6010	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
6013	6013	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
6018	6018	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC	CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
6037	6037	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
6041	6041	CNCC(C1=CC(=CC=C1)O)O	CNCC(C1=CC(=CC=C1)O)O
6049	6049	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O	C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
6058	6058	C(CS)N	C(CS)N
6167	6167	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
6196	6196	CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
6215	6215	CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C	CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C
6230	6230	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
6234	6234	C1C(C(=O)NO1)N	C1C(C(=O)NO1)N
6238	6238	CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O	CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
6249	6249	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
6251	6251	C(C(C(C(C(CO)O)O)O)O)O	C(C(C(C(C(CO)O)O)O)O)O
6252	6253	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
6256	6256	C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O	C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
6305	6305	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N
6322	6322	C(CC(C(=O)O)N)CN=C(N)N	C(CC(C(=O)O)N)CN=C(N)N
